product_name,color,product_category,mrp,total_sizes,available_size,brand_name,retailer,description,pdp_url,rating,review_count,scrapping_datetime
b.gorgeous Bikini,Bridal White,PANTIES,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,Flirty lace gives our b.gorgeous bikini a look you canâ€™t resist. This panty is the perfect choice for days you want to feel comfortable and a little sexy too.,b.gorgeous Bikini,NULL,NULL,25-04-20 13:49
b.gorgeous Bikini,Night,PANTIES,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,Flirty lace gives our b.gorgeous bikini a look you canâ€™t resist. This panty is the perfect choice for days you want to feel comfortable and a little sexy too.,b.gorgeous Bikini,NULL,NULL,25-04-20 13:49
b.tempt'd Most Desired Thong,Barrier Reef,PANTIES,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"At first glance, sweet. At second glance, super sexy. This smooth satin style features lace that lies perfectly against the skin and manages to be totally undetectable and quite desirable at the same time.",b.tempt'd Most Desired Thong,NULL,NULL,25-04-20 13:49
b.tempt'd Most Desired Thong,Porcelain Rose,PANTIES,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"At first glance, sweet. At second glance, super sexy. This smooth satin style features lace that lies perfectly against the skin and manages to be totally undetectable and quite desirable at the same time.",b.tempt'd Most Desired Thong,NULL,NULL,25-04-20 13:49
b.tempt'd Most Desired Thong,Night,PANTIES,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"At first glance, sweet. At second glance, super sexy. This smooth satin style features lace that lies perfectly against the skin and manages to be totally undetectable and quite desirable at the same time.",b.tempt'd Most Desired Thong,NULL,NULL,25-04-20 13:49
b.tempt'd Most Desired Thong,Placid Blue,PANTIES,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"At first glance, sweet. At second glance, super sexy. This smooth satin style features lace that lies perfectly against the skin and manages to be totally undetectable and quite desirable at the same time.",b.tempt'd Most Desired Thong,NULL,NULL,25-04-20 13:49
b.tempt'd Most Desired Thong,Cabaret,PANTIES,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"At first glance, sweet. At second glance, super sexy. This smooth satin style features lace that lies perfectly against the skin and manages to be totally undetectable and quite desirable at the same time.",b.tempt'd Most Desired Thong,NULL,NULL,25-04-20 13:49
b.tempt'd Ciao Bella Bikini,Baja Blue,PANTIES,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"Arrivederci, basic bikini. With lace featured front and center, the stretch mesh that envelops your assets create a quite tempting rear view. Soft elastic at the waist and leg openings is that  thoughtful added touch we like to throw in to keep everything sitting smoothly.",b.tempt'd Ciao Bella Bikini,NULL,NULL,25-04-20 13:49
b.tempt'd Ciao Bella Bikini,Wineberry,PANTIES,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"Arrivederci, basic bikini. With lace featured front and center, the stretch mesh that envelops your assets create a quite tempting rear view. Soft elastic at the waist and leg openings is that  thoughtful added touch we like to throw in to keep everything sitting smoothly.",b.tempt'd Ciao Bella Bikini,NULL,NULL,25-04-20 13:49
b.tempt'd Ciao Bella Bikini,Cappuccino,PANTIES,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"Arrivederci, basic bikini. With lace featured front and center, the stretch mesh that envelops your assets create a quite tempting rear view. Soft elastic at the waist and leg openings is that  thoughtful added touch we like to throw in to keep everything sitting smoothly.",b.tempt'd Ciao Bella Bikini,NULL,NULL,25-04-20 13:49
b.tempt'd Ciao Bella Bikini,Night,PANTIES,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"Arrivederci, basic bikini. With lace featured front and center, the stretch mesh that envelops your assets create a quite tempting rear view. Soft elastic at the waist and leg openings is that  thoughtful added touch we like to throw in to keep everything sitting smoothly.",b.tempt'd Ciao Bella Bikini,NULL,NULL,25-04-20 13:49
b.tempt'd Ciao Bella Bikini,Vanilla Ice,PANTIES,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"Arrivederci, basic bikini. With lace featured front and center, the stretch mesh that envelops your assets create a quite tempting rear view. Soft elastic at the waist and leg openings is that  thoughtful added touch we like to throw in to keep everything sitting smoothly.",b.tempt'd Ciao Bella Bikini,NULL,NULL,25-04-20 13:49
b.tempt'd Ciao Bella Bikini,Blithe,PANTIES,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"Arrivederci, basic bikini. With lace featured front and center, the stretch mesh that envelops your assets create a quite tempting rear view. Soft elastic at the waist and leg openings is that  thoughtful added touch we like to throw in to keep everything sitting smoothly.",b.tempt'd Ciao Bella Bikini,NULL,NULL,25-04-20 13:49
b.bare thong,Wild Aster,PANTIES,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"No need to dare to go to bare when you have b. bare. With lightweight clean cut fabric and a completely clean look under clothes, this is a much smarter- and sleeker- option.",b.bare thong,NULL,NULL,25-04-20 13:49
b.bare thong,Au Natural,PANTIES,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"No need to dare to go to bare when you have b. bare. With lightweight clean cut fabric and a completely clean look under clothes, this is a much smarter- and sleeker- option.",b.bare thong,NULL,NULL,25-04-20 13:49
b.bare thong,Night,PANTIES,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"No need to dare to go to bare when you have b. bare. With lightweight clean cut fabric and a completely clean look under clothes, this is a much smarter- and sleeker- option.",b.bare thong,NULL,NULL,25-04-20 13:49
b.tempt'd Most Desired Hipster,Rose Smoke,PANTIES,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"This is that hipster everyone hunts for- a flattering and comfy cut, flirty lace and mesh accents and a pair of perfectly placed satin bows to boot.",b.tempt'd Most Desired Hipster,NULL,NULL,25-04-20 13:49
b.tempt'd Most Desired Hipster,Placid Blue,PANTIES,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"This is that hipster everyone hunts for- a flattering and comfy cut, flirty lace and mesh accents and a pair of perfectly placed satin bows to boot.",b.tempt'd Most Desired Hipster,NULL,NULL,25-04-20 13:49
b.tempt'd Most Desired Hipster,Cabaret,PANTIES,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"This is that hipster everyone hunts for- a flattering and comfy cut, flirty lace and mesh accents and a pair of perfectly placed satin bows to boot.",b.tempt'd Most Desired Hipster,NULL,NULL,25-04-20 13:49
b.bare Hipster,Au Natural,PANTIES,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"Our beloved- and flattering- hipster silhouette, stripped down to lightweight, clean cut fabric with lace detailing, makes it hip to b. bare with every outfit, every day.",b.bare Hipster,NULL,NULL,25-04-20 13:49
b.bare Hipster,Night,PANTIES,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"Our beloved- and flattering- hipster silhouette, stripped down to lightweight, clean cut fabric with lace detailing, makes it hip to b. bare with every outfit, every day.",b.bare Hipster,NULL,NULL,25-04-20 13:49
b.bare Hipster,Wild Aster,PANTIES,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"Our beloved- and flattering- hipster silhouette, stripped down to lightweight, clean cut fabric with lace detailing, makes it hip to b. bare with every outfit, every day.",b.bare Hipster,NULL,NULL,25-04-20 13:49
