product_name,color,product_category,mrp,total_sizes,available_size,brand_name,retailer,description,pdp_url,rating,review_count,scrapping_datetime
Floral Mini Knickers,CREAM,Lingerie,10,"2,4,6,8,10,12","2,4,6,8,10,12",US TOPSHOP,Topshop US,"Cream mixed floral mini knickers. 93% Polyamide, 7% Elastane. Machine wash.",Floral Mini Knickers,NULL,NULL,26-04-20 19:42
Floral Microfibre Knickers,CORAL,Lingerie,10,"2,4,6,8,10,12","2,4,6,8,10,12",US TOPSHOP,Topshop US,"These microfibre knickers come in a pastel floral print with elegant lace trims and a cute pink bow applique at the front. 89% Polyamide, 11% Elastane. Machine wash.",Floral Microfibre Knickers,NULL,NULL,26-04-20 19:42
Little Pony Cheeky Knickers,Pale Pink,Lingerie,10,"2,4,6,8,10,12","8,10,12",US TOPSHOP,Topshop US,"Keep your underwear looking cute with these pale pink Little Pony cheeky knickers. 95% Cotton, 5% Elastane. Machine wash.",Little Pony Cheeky Knickers,NULL,NULL,26-04-20 19:42
Floral Print Thong,PALE BLUE,Lingerie,10,"2,4,6,8,10,12",8,US TOPSHOP,Topshop US,"Blue floral print thong. 86% Polyamide, 14% Elastane. Machine wash.",Floral Print Thong,NULL,NULL,26-04-20 19:42
Pineapple Print Boypants,Blue,Lingerie,10,"2,4,6,8,10,12","2,4,6,8,12",US TOPSHOP,Topshop US,"Panty mit niedriger LeibhÃ¶he und tiefem Beinausschnitt. 95 % Baumwolle, 5 % Elastan. MaschinenwÃ¤sche.",Pineapple Print Boypants,NULL,NULL,26-04-20 19:42
Floral Thong,CREAM,Lingerie,10,"2,4,6,8,10,12","4,10,12",US TOPSHOP,Topshop US,"Cream vintage floral thong. 93% Polyamide, 7% Elastane. Machine wash.",Floral Thong,NULL,NULL,26-04-20 19:42
Lace Sporty Thong,CHARCOAL,Lingerie,10,"2,4,6,8,10,12","2,4,6,8,10,12",US TOPSHOP,Topshop US,"In a pretty lace and mesh design, these charcoal knickers are finished with a contrast sporty waistband. 86% Polyamide, 14% Elastane. Machine wash.",Lace Sporty Thong,NULL,NULL,26-04-20 19:42
Sporty Waistband Lace Mini Knickers,MAGENTA,Lingerie,10,"2,4,6,8,10,12","2,4,6,8,10,12",US TOPSHOP,Topshop US,"Magenta lace mini knickers with sporty waistband. 86% Polyamide, 14% Elastane. Machine wash.",Sporty Waistband Lace Mini Knickers,NULL,NULL,26-04-20 19:42
Vintage Rose Knickers,NAVY BLUE,Lingerie,10,"2,4,6,8,10,12","6,10",US TOPSHOP,Topshop US,"Navy blue lady knickers with vintage rose print. 93% Polyamide, 7% Elastane. Machine wash.",Vintage Rose Knickers,NULL,NULL,26-04-20 19:42
Microfibre French Knickers,BLACK,Lingerie,10,"2,4,6,8,10,12","2,4,6,8,12",US TOPSHOP,Topshop US,"Keep comfy in these low rise black microfibre knickers with medium coverage. Comes with a lace trim 92% Polyamide, 8% Elastane. Machine wash.",Microfibre French Knickers,NULL,NULL,26-04-20 19:42
Ariel Boypants,LILAC,Lingerie,10,"2,4,6,8,10,12","2,6,8,10,12",US TOPSHOP,Topshop US,"Think cute prints and patterns with these comfy boypants. Crafted from a stretchy cotton blend, they feature an all-over Disneyâ€™s Ariel print with a low-rise waistband and good coverage for total comfort. 95% Cotton, 5% Elastane. Machine wash.",Ariel Boypants,NULL,NULL,26-04-20 19:42
Vintage Print Thong,NAVY BLUE,Lingerie,10,"2,4,6,8,10,12","2,4,8,10,12",US TOPSHOP,Topshop US,"Navyblauer Tanga mit Vintage-Print. 90 % Polyamid, 10 % Elastan. MaschinenwÃ¤sche.",Vintage Print Thong,NULL,NULL,26-04-20 19:42
You Can't Sit With us Boypants,Pink,Lingerie,10,"2,4,6,8,10,12","6,10,12",US TOPSHOP,Topshop US,"Keep it cute in these Mean Girls-inspired low-rise boypants with good coverage. 95% Cotton, 5% Elastane. Machine wash.",You Can't Sit With us Boypants,NULL,NULL,26-04-20 19:42
