product_name,color,product_category,mrp,total_sizes,available_size,brand_name,retailer,description,pdp_url,rating,review_count,scrapping_datetime
The Lacie Lace Shortie Panty,cozumel teal,Lace Shortie Panty,10.5,"XS, S, M, L, XL",XS,Victoria's Secret,Victoriassecret US,"A little shortie, a lot flirty, in silky-soft and stretchy lace that disappears under clothes. Â  Allover lace Low rise Full back coverage: shows curves, not skin Imported nylon/spandex/cotton Machine wash",The Lacie Lace Shortie Panty,NULL,NULL,26-04-20 19:57
The Lacie Lace Shortie Panty,so silver,Lace Shortie Panty,10.5,"XS, S, M, L, XL",XS,Victoria's Secret,Victoriassecret US,"A little shortie, a lot flirty, in silky-soft and stretchy lace that disappears under clothes. Â  Allover lace Low rise Full back coverage: shows curves, not skin Imported nylon/spandex/cotton Machine wash",The Lacie Lace Shortie Panty,NULL,NULL,26-04-20 19:57
The Lacie Lace Shortie Panty,fir green,Lace Shortie Panty,10.5,"XS, S, M, L, XL",XS,Victoria's Secret,Victoriassecret US,"A little shortie, a lot flirty, in silky-soft and stretchy lace that disappears under clothes. Â  Allover lace Low rise Full back coverage: shows curves, not skin Imported nylon/spandex/cotton Machine wash",The Lacie Lace Shortie Panty,NULL,NULL,26-04-20 19:57
Seamless Pineapple Cheekini Panty,coral reef pineapple print,Pineapple Cheekini Panty,10.5,"XS, S, M, L, XL",XS,Victoria's Secret,Victoriassecret US,"Softer than ever and totally seamless, it's pineapple perfection. Low rise Minimal back coverage Imported nylon/spandex",Seamless Pineapple Cheekini Panty,NULL,NULL,26-04-20 19:57
Seamless Pineapple Cheekini Panty,light comet pineapple print,Pineapple Cheekini Panty,10.5,"XS, S, M, L, XL",XS,Victoria's Secret,Victoriassecret US,"Softer than ever and totally seamless, it's pineapple perfection. Low rise Minimal back coverage Imported nylon/spandex",Seamless Pineapple Cheekini Panty,NULL,NULL,26-04-20 19:57
Seamless Pineapple Cheekini Panty,fair orchid pineapple print,Pineapple Cheekini Panty,10.5,"XS, S, M, L, XL",XS,Victoria's Secret,Victoriassecret US,"Softer than ever and totally seamless, it's pineapple perfection. Low rise Minimal back coverage Imported nylon/spandex",Seamless Pineapple Cheekini Panty,NULL,NULL,26-04-20 19:57
Seamless Pineapple Cheekini Panty,cerulean pineapple print,Pineapple Cheekini Panty,10.5,"XS, S, M, L, XL",XS,Victoria's Secret,Victoriassecret US,"Softer than ever and totally seamless, it's pineapple perfection. Low rise Minimal back coverage Imported nylon/spandex",Seamless Pineapple Cheekini Panty,NULL,NULL,26-04-20 19:57
Cotton Lingerie Lace-trim High-leg Brief Panty,aqua retro paisley print,Lace-trim High-leg Brief Panty,10.5,"XS, S, M, L, XL",XS,Victoria's Secret,Victoriassecret US,"Framed in lace, thiscomfy panty in silky-soft, stretchy cotton is naturally sexy. In lots of colors and pretty prints, our cotton undies ensure your lingerie drawer is anything but ordinary.Â  Lace trim at waist and legs High waist Full back coverage: shows curves, not skin Imported cotton/nylon/spandex",Cotton Lingerie Lace-trim High-leg Brief Panty,NULL,NULL,26-04-20 19:57
Cotton Lingerie Lace-trim High-leg Brief Panty,black,Lace-trim High-leg Brief Panty,10.5,"XS, S, M, L, XL",XS,Victoria's Secret,Victoriassecret US,"Framed in lace, thiscomfy panty in silky-soft, stretchy cotton is naturally sexy. In lots of colors and pretty prints, our cotton undies ensure your lingerie drawer is anything but ordinary.Â  Lace trim at waist and legs High waist Full back coverage: shows curves, not skin Imported cotton/nylon/spandex",Cotton Lingerie Lace-trim High-leg Brief Panty,NULL,NULL,26-04-20 19:57
Cotton Lingerie Lace-trim High-leg Brief Panty,geometric star print,Lace-trim High-leg Brief Panty,10.5,"XS, S, M, L, XL",XS,Victoria's Secret,Victoriassecret US,"Framed in lace, thiscomfy panty in silky-soft, stretchy cotton is naturally sexy. In lots of colors and pretty prints, our cotton undies ensure your lingerie drawer is anything but ordinary.Â  Lace trim at waist and legs High waist Full back coverage: shows curves, not skin Imported cotton/nylon/spandex",Cotton Lingerie Lace-trim High-leg Brief Panty,NULL,NULL,26-04-20 19:57
